"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4,C3";"C_1206_3216Metric";2;"100uF";;;
2;"J1";"PinSocket_1x08_P2.54mm_Vertical";1;"Power";;;
3;"J3";"PinSocket_1x06_P2.54mm_Vertical";1;"Analog";;;
4;"J2";"PinSocket_1x10_P2.54mm_Vertical";1;"Digital/PWM";;;
5;"J4";"PinSocket_1x08_P2.54mm_Vertical";1;"Digital/PWM";;;
6;"C1,C2";"C_0805_2012Metric";2;".1uF";;;
7;"J5";"BarrelJack_Horizontal";1;"Barrel_Jack_MountingPin";;;
8;"LR1,LR2,UD2,UD1";"PinSocket_1x08_P2.54mm_Vertical";4;"Conn_01x08";;;
9;"X1,Y1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
